"Goroka","Goroka","Papua New Guinea",-6.081689,145.391881
"Madang","Madang","Papua New Guinea",-5.207083,145.7887
"Mount Hagen","Mount Hagen","Papua New Guinea",-5.826789,144.295861
"Nadzab","Nadzab","Papua New Guinea",-6.569828,146.726242
"Port Moresby Jacksons Intl","Port Moresby","Papua New Guinea",-9.443383,147.22005
"Wewak Intl","Wewak","Papua New Guinea",-3.583828,143.669186
"Narsarsuaq","Narssarssuaq","Greenland",61.160517,-45.425978
"Nuuk","Godthaab","Greenland",64.190922,-51.678064
"Sondre Stromfjord","Sondrestrom","Greenland",67.016969,-50.689325
"Thule Air Base","Thule","Greenland",76.531203,-68.703161
"Akureyri","Akureyri","Iceland",65.659994,-18.072703
"Egilsstadir","Egilsstadir","Iceland",65.283333,-14.401389
"Hornafjordur","Hofn","Iceland",64.295556,-15.227222
"Husavik","Husavik","Iceland",65.952328,-17.425978
"Isafjordur","Isafjordur","Iceland",66.058056,-23.135278
"Keflavik International Airport","Keflavik","Iceland",63.985,-22.605556
"Patreksfjordur","Patreksfjordur","Iceland",65.555833,-23.965
"Reykjavik","Reykjavik","Iceland",64.13,-21.940556
"Siglufjordur","Siglufjordur","Iceland",66.133333,-18.916667
"Vestmannaeyjar","Vestmannaeyjar","Iceland",63.424303,-20.278875
"Sault Ste Marie","Sault Sainte Marie","Canada",46.485001,-84.509445
"Winnipeg St Andrews","Winnipeg","Canada",50.056389,-97.0325
"Shearwater","Halifax","Canada",44.639721,-63.499444
"St Anthony","St. Anthony","Canada",51.391944,-56.083056
"Tofino","Tofino","Canada",49.082222,-125.7725
"Kugaaruk","Pelly Bay","Canada",68.534444,-89.808056
"Baie Comeau","Baie Comeau","Canada",49.1325,-68.204444
"Bagotville","Bagotville","Canada",48.330555,-70.996391
"Baker Lake","Baker Lake","Canada",64.298889,-96.077778
"Campbell River","Campbell River","Canada",49.950832,-125.270833
"Brandon Muni","Brandon","Canada",49.91,-99.951944
"Cambridge Bay","Cambridge Bay","Canada",69.108055,-105.138333
"Nanaimo","Nanaimo","Canada",49.052333,-123.870167
"Castlegar","Castlegar","Canada",49.296389,-117.6325
"Miramichi","Chatham","Canada",47.007778,-65.449167
"Charlo","Charlo","Canada",47.990833,-66.330278
"Kugluktuk","Coppermine","Canada",67.816667,-115.143889
"Coronation","Coronation","Canada",52.075001,-111.445278
